institution_code,standard_institution_code,institution_name,normalized_name,aliases,ministry,institution_type,institution_classification,sido,sigungu
C0075,,사립학교교직원연금공단,사립학교교직원연금공단,,,기타공공기관,고용보건복지,,
C0078,,산업연구원,산업연구원,,,기타공공기관,연구교육,,
C1130,,새만금개발공사,새만금개발공사,,,기타공공기관,SOC,,
C1046,,서민금융진흥원,서민금융진흥원,,,기타공공기관,금융,,
C0083,,서울대학교병원,서울대학교병원,대병원|서울대병원,,기타공공기관,고용보건복지,,
C0084,,서울대학교치과병원,서울대학교치과병원,,,기타공공기관,고용보건복지,,
C0029,,서울올림픽기념국민체육진흥공단,서울올림픽기념국민체육진흥공단,,,준정부기관(기금관리형),기타,,
C0939,,서울요양원,서울요양원,,,준정부기관(위탁집행형),고용보건복지,,
C0905,,선박해양플랜트연구소,선박해양플랜트연구소,,,기타공공기관,연구교육,,
C0867,,세종학당재단,세종학당재단,,,기타공공기관,문화예술외교법무,,
C0903,,소상공인시장진흥공단,소상공인시장진흥공단,,,준정부기관(기금관리형),산업진흥정보화,,
C0906,,소프트웨어정책연구소,소프트웨어정책연구소,,,기타공공기관,연구교육,,
C0089,,수도권매립지관리공사,수도권매립지관리공사,,,기타공공기관,기타,,
C1331,,스포츠윤리센터,스포츠윤리센터,,,기타공공기관,기타,,
C1033,,시청자미디어재단,시청자미디어재단,,,기타공공기관,문화예술외교법무,,
C0661,,식품안전정보원,식품안전정보원,,,기타공공기관,기타,,
C0091,,신용보증기금,신용보증기금,,,준정부기관(기금관리형),금융,,
C0112,,신용보증재단중앙회,신용보증재단중앙회,,,기타공공기관,금융,,
C0918,,아시아·태평양경제협력체 기후센터,아시아·태평양경제협력체기후센터,아시아·태평양경제협력체기후센터,,기타공공기관,농림수산환경,,
C1398,,양육비이행관리원,양육비이행관리원,,,기타공공기관,SOC,,
C0096,,에너지경제연구원,에너지경제연구원,,,기타공공기관,연구교육,,
C0281,,여수광양항만공사,여수광양항만공사,,,기타공공기관,SOC,,
C0050,,연구개발특구진흥재단,연구개발특구진흥재단,,,기타공공기관,산업진흥정보화,,
C0098,,영상물등급위원회,영상물등급위원회,,,기타공공기관,문화예술외교법무,,
C0099,,영화진흥위원회,영화진흥위원회,,,기타공공기관,기타,,
C0101,,예금보험공사,예금보험공사,,,준정부기관(기금관리형),금융,,
C0102,,예술의전당,예술의전당,,,기타공공기관,문화예술외교법무,,
C0896,,오송첨단의료산업진흥재단,오송첨단의료산업진흥재단,,,기타공공기관,고용보건복지,,
